job_title,comp_name,comp_type,region,city,salary,contract,positions,years_of_experience,gender
كاتب علاقات حكومية,شركة عبدالرؤف عبدالوهاب العيد للاستشارات المهنية,خاص,Riyadh,ABA ASLAB,6000.0,دوام كامل,9,2,Female
سكرتير تنفيذي,شركة كاف الرقمية للدعاية والاعلان,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,1,4,Male
مندوب مبيعات,شركة صندوق الرقمي للاتصالات و تقنية المعلومات,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,2,0,both
مساعد إداري,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,2,Female
معلم حضانة,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,Riyadh,AR RIYADH,3200.0,دوام كامل,3,0,Female
فني كيميائي,مصنع الاعشاب الشرقية للصناعة,خاص,Eastern Region,AD DAMMAM,5000.0,دوام كامل,1,4,Male
مهندس كهربائي,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,Madinah,AL MADINA,7000.0,دوام كامل,2,4,Male
مهندس ميكانيكي,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,Madinah,AL MADINA,7000.0,دوام كامل,2,4,Male
مدير إداري,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,Madinah,AL MADINA,7000.0,دوام كامل,1,4,Male
فني هندسة ميكانيكية,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,Madinah,AL MADINA,4500.0,دوام كامل,2,0,Male
فني هندسة كهربائية,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,Madinah,AL MADINA,4500.0,دوام كامل,2,0,Male
مدخل بيانات,مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,خاص,Madinah,YANBU,4000.0,دوام كامل,1,0,Male
محاسب,حلاق ديوان الدانه للحلاقة,خاص,Eastern Region,AD DAMMAM,4500.0,دوام كامل,2,2,both
مدير فرع,شركة الزي للتجارة,خاص,Eastern Region,DHAHRAN,4500.0,دوام كامل,1,2,both
بائع,مجمع الرائعه الاقتصاديه التجاري,خاص,Al Bahah,AL AQIQ,4000.0,دوام كامل,2,0,Female
موظف استقبال فندق,فندق قصر الواحة الفندقية,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,4,2,both
مندوب مبيعات,شركـة مجموعة المساع المحدودة,خاص,Makkah,JEDDAH,5000.0,دوام كامل,2,2,both
أخصائي تسويق,شركة مصدر الحياة للصناعات الغذائية,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,10,0,both
كاتب استعلامات مركز خدمة عملاء,شركة الرهدن,خاص,Eastern Region,AD DAMMAM,4500.0,دوام كامل,2,0,both
بائع,شركة متاجر رمانة التجارية,خاص,Riyadh,ABA ASLAB,4500.0,دوام كامل,10,0,Male
بائع,شركة مطعم بيت الشاورما لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,50,0,Male
بائع,شركة أطياب غناتي التجارية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,10,2,Female
أخصائي عمليات موارد بشرية,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
أخصائي خدمة عملاء,شركة بروج للكابلات,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,1,2,both
بائع,شركة المشروبات والاطعمة الغذائية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,6,0,both
أخصائي جودة,شركة مصنع الجواد للبلاستيك والتغليف المرن,خاص,Eastern Region,AL UYUN,4170.0,دوام كامل,2,0,both
معلم صفوف أولية,مدارس  الأختيار الاول الاهلية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,Female
بائع,شركة جبو رية للحلويات,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,4,0,Male
مساعد طب بيطري,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,1,0,both
محاسب,مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,خاص,Riyadh,WADI AD D,6000.0,دوام كامل,2,0,Female
صيدلي,شركة مجمع الرحمة الطبي,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
مهندس معماري داخلي,شركة رتاج المسكن المحدودة (شركة شخص واحد),خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
مهندس معماري,شركة بوابة الفرسان للتصميم,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,1,0,Female
بائع مأكولات ومشروبات,مقهى الفصل الخامس لتقديم المشروبات,خاص,Aseer,TANUMAH,4500.0,دوام كامل,2,0,Male
خطاط,مؤسسة دكان مخمل التجارية,خاص,Al Qassim,BURAYDAH,4000.0,دوام كامل,1,0,both
منسق زهور,مؤسسة دكان مخمل التجارية,خاص,Al Qassim,BURAYDAH,4000.0,دوام كامل,1,0,both
مدير فرع,شركة ماس الدولية للمقاولات شركة شخص واحد,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,1,2,Male
أخصائي تطوير إداري,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,3,0,both
مدير تسويق,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
مدير خدمة العملاء,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,both
أخصائي تسويق,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,4,0,both
مندوب مشتريات,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
مندوب مبيعات,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,3,0,both
أخصائي خدمة عملاء,بنتي للتجارة,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,0,both
فني تدفئة وتهوية وتكييف,مؤسسة مرميس للمقاولات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,Male
مهندس ميكانيكي,شركة زهرة الصحراء للخدمات اللوجستية,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,3,0,Male
مدير رقابة ادارية,محل عبدالرحمن عوظه عبدالله الشهراني التجارية,خاص,Aseer,BISHAH,6000.0,دوام كامل,1,0,Male
موظف صندوق محاسبة,مركز مناهل ديرتي لتجارة الجملة و التجزئة,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,2,0,Male
موظف صندوق محاسبة,شركة الوصفات المختلفة التجارية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
مدير تسويق,مؤسسة خالد فيحان نايف النفيعي العقاري,خاص,Makkah,AL HAWIYA,4000.0,دوام كامل,1,0,Female
صيدلي,شركة نيرا الطبية,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,1,0,both
مدير تدريب,شركة حلال العالمي للتدريب,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Male
مدير حساب عميل,مؤسسة دعائم التقنية للحاسب الالي,خاص,Riyadh,ABA ASLAB,5500.0,دوام كامل,1,0,Female
حارس أمن,شركة شبلا للحراسات الامنية شركة شخص واحد,خاص,Riyadh,ABA ASLAB,3640.0,دوام كامل,4,0,Male
طبيب أمراض جلدية,شركة العلاج البديل الطبية,خاص,Makkah,JEDDAH,8000.0,دوام كامل,2,4,both
أخصائي تسويق,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,Makkah,JEDDAH,8000.0,دوام كامل,1,7,both
نادل,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,Makkah,JEDDAH,5000.0,دوام كامل,2,0,both
موظف صندوق محاسبة,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,0,both
كاتب موارد بشرية,شركة القدرات الوطنية للخدمات التجارية,خاص,Eastern Region,AL KHUBAR,5000.0,دوام كامل,2,0,Female
معلم ثانوي أحياء,شركه الرشد التعليميه المحدوده,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Male
معلم ثانوي لغة عربية,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,خاص,Makkah,JEDDAH,5500.0,دوام كامل,3,0,Male
مساعد إداري,فوال طيبات خلوفه لتقديم الوجبات,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,Male
أخصائي تسويق,شركة ايرادات للخدمات العقارية,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,1,2,Male
أخصائي عمليات موارد بشرية,شركة أمان التنمية المحدودة,خاص,Aseer,KHAMIS MU,4000.0,دوام كامل,2,2,both
محاسب,شركة دهونت ثيرمال سالوشانز للصناعة المحدودة,خاص,Eastern Region,AL JUBAIL,5250.0,دوام كامل,1,2,Male
أخصائي تسويق,شركة علي ناصر النصار وشركاه,خاص,Eastern Region,ABRAQIYAH,5000.0,دوام كامل,2,2,both
بائع مأكولات ومشروبات,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,خاص,Makkah,JEDDAH,4000.0,دوام كامل,10,0,both
مهندس ميكانيكي,شركة الصخور العربية للصناعة,خاص,Riyadh,ABA ASLAB,7000.0,دوام كامل,1,0,Male
مهندس مدني,شركة الصخور العربية للصناعة,خاص,Riyadh,ABA ASLAB,7000.0,دوام كامل,1,0,Male
فني مختبر طبي,شركة مجمع الرحمة الطبي,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,5,2,both
فني هندسة ميكانيكية,مؤسسة جازي  للمقاولات,خاص,Al Bahah,AL BAHA,4000.0,دوام كامل,1,0,Male
فني هندسة إلكترونية,مؤسسة جازي  للمقاولات,خاص,Al Bahah,AL BAHA,4000.0,دوام كامل,1,0,Male
أخصائي عمليات موارد بشرية,شركة حديد السد للصناعة,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,1,2,Male
سكرتير,شركة تنمية للمقاولات شركة شخص واحد,خاص,Madinah,AL MADINA,4000.0,دوام كامل,3,0,both
بائع,مؤسسة عبدالله صباح فهد العنزي التجارية,خاص,Riyadh,AL KHARJ,4000.0,دوام كامل,1,0,Female
مشرف مسكن,شركه افراس للتجاره والمقاولات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
مساعد إداري,مؤسسة حديقة الطفل الأهلية,خاص,Riyadh,AR RIYADH,4000.0,عمل عن بعد,2,0,both
سكرتير تنفيذي,مؤسسة رحلة الإنجاز للمقاولات,خاص,Makkah,MAKKAH AL,4000.0,دوام كامل,1,2,Male
مصمم وسائط متعددة,شركة عروبة الشرق للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,2,0,both
أخصائي تسويق,معهد الثقه الفائزة للتدريب,خاص,Makkah,JEDDAH,4500.0,دوام كامل,1,0,Male
سائق شاحنة ثقيلة,شركة الاتحاد السريع,خاص,Riyadh,ABA AL KI,5500.0,دوام كامل,3,2,both
محلل نظم المعلومات,شقق لجين الغربية للوحدات السكنية المفروشة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,2,both
مدير عمليات موارد بشرية,شركة قوافل الكمال للتجارة,خاص,Makkah,MAKKAH AL,6000.0,دوام كامل,1,7,both
سكرتير,المكتب التعاوني للدعوة والارشاد وتوعية الجاليات با,خاص,Riyadh,AR RIYADH,3000.0,دوام كامل,2,0,both
عامل تصنيع,مصنع رواد الكفاح للصناعة,خاص,Eastern Region,AL MUBARR,4400.0,دوام كامل,1,0,Male
عامل كاونتر مأكولات ومشروبات,مطعم نسيم الوردة الشامية,خاص,Eastern Region,AD DAMMAM,4000.0,دوام كامل,2,0,both
بائع,شركة أسامه بكر عبدالله بكر الزراعية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
بائع,شركة أسامه بكر عبدالله بكر الزراعية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,both
مساعد إداري,شركة تيم واي للمقاولات  شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
نادل,مقهى جواهر خلف بن شجاع العتيبي لتقديم المشروبات,خاص,Makkah,MAKKAH AL,3200.0,دوام كامل,2,0,Female
محاسب,مصنع محمد عايض الوهبي للصناعة,خاص,Makkah,JEDDAH,4082.0,دوام كامل,1,0,Male
فني طوابع,مؤسسة رياده الخير للنقل البري,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,3,0,both
بائع,مطعم ملعقة الطاهي لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,0,Female
نادل,مطعم ملعقة الطاهي لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,4,0,Female
طاهي,مطعم ملعقة الطاهي لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,5,0,Female
مدير تسويق,مؤسسة كناري للانتاج الفني,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
صراف عملات,شركة سالم سليم دخيل الله اللهيبي واولاده للصرافه,خاص,Madinah,AL MADINA,4500.0,دوام كامل,3,0,Male
مدير شؤون قانونية,شركة يوسف هدبان الحارثي للمحاماة والاستشارات القانونية,خاص,Tabuk,TABUK,4000.0,دوام كامل,1,2,Male
مهندس كيميائي,فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,خاص,Madinah,YANBU AS ,7000.0,دوام كامل,1,4,both
فني انتاج مشتقات نفطية,فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,خاص,Madinah,YANBU AS ,5000.0,دوام كامل,1,2,Male
موظف استقبال,مركز صانعة الاحلام الرياضي,خاص,Al Qassim,AL BADAI',4000.0,دوام كامل,1,0,Female
كاتب موارد بشرية,شركة محمد عايض فواز الوهبي للتجارة,خاص,Makkah,JEDDAH,4082.0,دوام كامل,1,0,Female
كاتب موارد بشرية,مصنع محمد عايض الوهبي للصناعة,خاص,Makkah,JEDDAH,4082.0,دوام كامل,1,0,Female
أخصائي توظيف,شركة الامتياز للتقنيه المحدوده,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,1,2,Male
محصل,شركة ثقة الدولية العقارية,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,1,2,Female
محاسب,شركة خدمات اطلس الدوليه,خاص,Riyadh,ABA ASLAB,6000.0,دوام كامل,2,0,both
أخصائي تغذية,شركة خدمات اطلس الدوليه,خاص,Riyadh,ABA ASLAB,7000.0,دوام كامل,2,0,both
محاسب,شركة ايرادات للخدمات العقارية,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,2,2,both
مساعد إداري,شركة حديد السد للصناعة,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,Male
مهندس تقنية معلومات,شركة دار خبراء الشبكات,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,2,2,both
بائع,مؤسسة هتان عبدالواحد عبدالرب قرشي السلمي التجارية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,3,0,both
نادل,مطعم ملعقة الطاهي لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,4,0,Female
فني صيانة ميكانيكية,فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,خاص,Madinah,YANBU AS ,5000.0,دوام كامل,1,2,Male
مساح إحصائي,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,5,0,Male
فني مواد إنشائية,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,5,0,Male
فني طرق,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,5,0,Male
مهندس ميكانيكي,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,8400.0,دوام كامل,3,0,Male
مهندس مواد,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,8400.0,دوام كامل,3,0,Male
مهندس مدني,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,8400.0,دوام كامل,3,0,Male
مهندس كهربائي,شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,خاص,Riyadh,AR RIYADH,8400.0,دوام كامل,3,0,Male
مساعد إداري,شركة إم اتش بي العربية السعودية التجارية,خاص,Makkah,JEDDAH,6150.0,دوام كامل,1,0,Female
مدير عمليات موارد بشرية,مؤسسة سحاب الأفق للمقاولات,خاص,Riyadh,AR RIYADH,6500.0,دوام كامل,1,2,both
طبيب أسنان عام,مجمع شفاء طيبة الطبي,خاص,Madinah,AL MADINA,6000.0,دوام كامل,1,0,Female
بائع,شركة اراده الاعمال للتجارة (شركة شخص واحد),خاص,Riyadh,AR RIYADH,4400.0,دوام كامل,1,0,both
سائق سيارة,جمعية حماية الاسرة الخيرية,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,1,2,both
مهندس مدني,مكتب بيت دلتا للاستشارات الهندسية,خاص,Riyadh,AR RIYADH,7000.0,دوام كامل,1,0,Male
سائق حافلة,شركة الدور المتقدمة مساهمة مقفلة,خاص,Madinah,AL ULA,4000.0,دوام كامل,3,2,Male
موظف استقبال,شركة العلاج البديل الطبية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,Female
سكرتير تنفيذي,شركة جازان للطاقة والتنمية,خاص,Jazan,JIZAN,5000.0,دوام كامل,1,2,Male
منسق منتجات,شركه التموين العربي التجاريه المحدوده,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,6,0,both
محاسب,مؤسسة مجدر لتجارة الجملة و التجزئة,خاص,Madinah,AL 'AQUL,6000.0,دوام كامل,1,2,both
مدخل بيانات,فرع شركة الوقود المتحدة,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,2,both
إداري مواقع إلكترونية,مؤسسة رياده الخير للنقل البري,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,1,0,both
موظف استقبال,مؤسسة شام الشاملة التجارية,خاص,Makkah,JEDDAH,4000.0,دوام كامل,3,0,Male
فني صيانة أجهزة إلكترونية,مؤسسة الحلول الذاتية للمقاولات,خاص,Makkah,JEDDAH,4000.0,دوام كامل,3,2,Male
أخصائي مشتريات,مؤسسة مركز التأهيل المتكامل الطبي,خاص,Makkah,AS SALAMA,5000.0,دوام كامل,2,7,both
سكرتير طبي,مؤسسة مركز التأهيل المتكامل الطبي,خاص,Makkah,AS SALAMA,4500.0,دوام كامل,3,4,Female
فني علاج طبيعي,مؤسسة مركز التأهيل المتكامل الطبي,خاص,Makkah,AS SALAMA,4500.0,دوام كامل,5,4,both
سكرتير طبي,مؤسسة مركز التأهيل المتكامل  الطبي,خاص,Makkah,AL QUNFID,4500.0,دوام كامل,3,7,both
أخصائي علاج طبيعي,مؤسسة مركز التأهيل المتكامل  الطبي,خاص,Makkah,AL QUNFID,5000.0,دوام كامل,5,7,both
مشرف موقع إنشائي,شركة السبع سنابل (شركة شخص واحد),خاص,Makkah,JU'RANAH,4000.0,دوام كامل,1,0,Male
مدخل بيانات,مؤسسة روائع الكون للتجارة,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
مهندس نظم تقنية معلومات,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,خاص,Riyadh,ABA ASLAB,15000.0,دوام كامل,1,7,both
مدير برمجيات,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,خاص,Riyadh,ABA ASLAB,16000.0,دوام كامل,1,4,both
مساعد إداري,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,خاص,Riyadh,ABA ASLAB,10000.0,دوام كامل,1,2,both
أخصائي تسويق,شركة رفال للتكييف والتبريد (شركة شخص واحد),خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,2,2,both
فني شبكات تقنية معلومات,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,خاص,Riyadh,ABA ASLAB,15000.0,دوام كامل,1,7,both
حارس أمن,شركة آشي وبشناق للمقاولات شركة مساهمة مقفلة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,4,2,Male
اخصائي دعم فني,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,خاص,Riyadh,ABA ASLAB,4500.0,دوام كامل,1,4,both
بائع مأكولات ومشروبات,مقهى كالفن لتقديم المشروبات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
سكرتير تنفيذي,شركة محمد بن سلمان الشيباني للمحاماة والاستشارات القانونية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,2,4,both
مدخل بيانات,مكتبة نوره سعد مطر البقمي للنسخ والتصوير,خاص,Makkah,AT TAIF,4000.0,دوام كامل,2,0,Female
مشرف صيانة,مؤسسة افاق منيفة للتشغيل والصيانة,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Male
مشرف تنظيف وتدبير,مؤسسة افاق منيفة للتشغيل والصيانة,خاص,Riyadh,AR RIYADH,4500.0,دوام كامل,1,0,Male
أخصائي مستودعات,شركة إم اتش بي العربية السعودية التجارية,خاص,Madinah,AL MADINA,7000.0,دوام كامل,1,2,Male
سكرتير,مركز اللياقة الحقيقية الرياضي,خاص,Eastern Region,DHAHRAN,4500.0,دوام كامل,1,2,Male
كاتب علاقات حكومية,شركة نظارات الجميل التجارية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,4,both
سكرتير,شركة نظارات الجميل التجارية,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,both
أخصائي مستودعات,شركة إم اتش بي العربية السعودية التجارية,خاص,Eastern Region,AD DAMMAM,7000.0,دوام كامل,1,2,Male
مساعد إداري,شركة ليلى المحدودة شركة شخص واحد,خاص,Makkah,JEDDAH,4000.0,دوام كامل,2,0,both
بائع احذية وحقائب,مؤسسة عادل عبدالقادر محمد الحميدان التجارية,خاص,Riyadh,ABA ASLAB,4000.0,دوام كامل,3,0,Female
عامل كاونتر مأكولات ومشروبات,شركة ايوان المذاق للتجارة شركة شخص واحد,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,2,0,both
بائع,مؤسسة بشت كاش لتقديم الوجبات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,both
سائق معدات ثقيلة,شركة سعيد بن سعد بن بخروش الغامدي للتجارة والمقاولات,خاص,Al Bahah,AL QARI,4000.0,دوام كامل,1,0,Male
محاسب,شركة مصنع وسائط النقل للمنتجات المعدنية,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,1,2,Female
مندوب مبيعات,شركة التقنية المساندة للحاسب الآلي,خاص,Makkah,JEDDAH,5000.0,دوام كامل,3,2,Male
محامي,مؤسسة سعود علي عيضه العتيبي لادوات ومواد السلامة,خاص,Eastern Region,AL KHUBAR,6500.0,دوام كامل,1,0,Male
أخصائي سمعيات,مؤسسة القمة السمعية التجارية,خاص,Makkah,JEDDAH,5000.0,دوام كامل,2,0,both
مهندس معماري,شركة اوما للاستشارات المهنية,خاص,Northen Borders,AR'AR,6000.0,دوام كامل,1,0,both
مدخل بيانات,مؤسسة عندليب للمقاولات العامة,خاص,Madinah,AL MADINA,3000.0,دوام كامل,1,0,Female
محاسب,مؤسسة حارث زيد عبدالله الشنبري للخضار والفواكه,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,0,Male
فني تدفئة وتهوية وتكييف,شركة البحرينية العالمية للتجارة والمقاولات شركة شخص واحد,خاص,Al Bahah,AL BAHA,5700.0,دوام كامل,1,2,Male
اخصائي دعم فني,مؤسسة دعائم التقنية للحاسب الالي,خاص,Riyadh,AR RIYADH,5500.0,دوام كامل,2,0,Female
